App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Total
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,100000,Paid,5,Everyone,Business,25-03-2018,1.5.2,4.0 and up,500000
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,100000,Paid,5,Everyone,Business,11-04-2017,3.4.6,3.0 and up,500000
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,100000,Paid,5,Everyone,Business,25-03-2018,1.5.2,4.0 and up,500000
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,100000,Paid,5,Everyone,Business,11-04-2017,3.4.6,3.0 and up,500000
Puffin Browser Pro,COMMUNICATION,4,18247,Varies with device,100000,Paid,4,Everyone,Communication,05-07-2018,7.5.3.20547,4.1 and up,400000
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,10000,Paid,4,Mature 17+,Dating,19-06-2018,2.6.139,4.1 and up,40000
Calculator,DATING,2.6,57,6.2M,1000,Paid,7,Everyone,Dating,25-10-2017,1.1.6,4.0 and up,7000
Truth or Dare Pro,DATING,0,0,20M,50,Paid,1,Teen,Dating,01-09-2017,1,4.0 and up,50
"Private Dating, Hide App- Blue for PrivacyHider",DATING,0,0,18k,100,Paid,3,Everyone,Dating,25-07-2017,1.0.1,4.0 and up,300
Ad Blocker for SayHi,DATING,0,4,1.2M,100,Paid,4,Teen,Dating,02-08-2018,1.2,4.0.3 and up,400
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100,Paid,8,Mature 17+,Dating,21-01-2017,1.0.1,4.0 and up,800
"Moco+ - Chat, Meet People",DATING,4.2,1546,Varies with device,10000,Paid,4,Mature 17+,Dating,19-06-2018,2.6.139,4.1 and up,40000
Sago Mini Hat Maker,EDUCATION,4.9,11,63M,1000,Paid,4,Everyone,Education;Pretend Play,24-07-2017,1,4.0.3 and up,4000
Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,44M,1000,Paid,6,Everyone,Education;Education,21-07-2017,1.3,4.1 and up,6000
Toca Life: City,EDUCATION,4.7,31085,24M,500000,Paid,4,Everyone,Education;Pretend Play,06-07-2018,1.5-play,4.4 and up,2000000
Toca Life: Hospital,EDUCATION,4.7,3528,24M,100000,Paid,4,Everyone,Education;Pretend Play,12-06-2018,1.1.1-play,4.4 and up,400000
My Talking Pet,ENTERTAINMENT,4.6,6238,Varies with device,100000,Paid,5,Everyone,Entertainment,30-06-2018,Varies with device,Varies with device,500000
Meme Generator,ENTERTAINMENT,4.6,3771,53M,100000,Paid,3,Mature 17+,Entertainment,03-08-2018,4.426,4.1 and up,300000
My CookBook Pro (Ad Free),FOOD_AND_DRINK,4.6,2129,Varies with device,10000,Paid,3,Everyone,Food & Drink,28-06-2018,Varies with device,Varies with device,30000
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3M,50000,Paid,5,Everyone,Food & Drink,03-06-2018,1.4.4,4.0 and up,250000
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,100000,Paid,3,Everyone,Health & Fitness,22-12-2015,Varies with device,Varies with device,300000
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29M,10000,Paid,4,Everyone,Health & Fitness,15-05-2018,1.0.6,4.3 and up,40000
